Date, Open, High, Low, Close, Volume
08/08/24, 213.11, 214.20, 208.83, 213.31, 47161152
08/07/24, 206.90, 213.64, 206.39, 209.82, 63516422
08/06/24, 205.30, 209.99, 201.07, 207.23, 69660484
08/05/24, 199.09, 213.50, 196.00, 209.27, 119548602
08/02/24, 219.15, 225.60, 217.71, 219.86, 105568602
08/01/24, 224.37, 224.48, 217.02, 218.36, 62501000
07/31/24, 221.44, 223.82, 220.63, 222.08, 50036262
07/30/24, 219.19, 220.325, 216.12, 218.80, 41643840
07/29/24, 216.96, 219.30, 215.75, 218.24, 36311781
07/26/24, 218.70, 219.49, 216.01, 217.96, 41601352
07/25/24, 218.93, 220.85, 214.62, 217.49, 51391199
07/24/24, 224.00, 224.80, 217.13, 218.54, 61777578
07/23/24, 224.365, 226.94, 222.68, 225.01, 39960262
07/22/24, 227.01, 227.78, 223.09, 223.96, 48201840
07/19/24, 224.82, 226.80, 223.275, 224.31, 49151449
07/18/24, 230.28, 230.44, 222.27, 224.18, 66034594
07/17/24, 229.45, 231.4599, 226.64, 228.88, 57345879
07/16/24, 235.00, 236.27, 232.33, 234.82, 43234281
07/15/24, 236.48, 237.23, 233.09, 234.40, 62631246
07/12/24, 228.92, 232.64, 228.68, 230.54, 53046527
07/11/24, 231.39, 232.39, 225.77, 227.57, 64710621
07/10/24, 229.30, 233.08, 229.25, 232.98, 62627688
07/09/24, 227.93, 229.40, 226.3721, 228.68, 48169820
07/08/24, 227.09, 227.85, 223.25, 227.82, 59085859
07/05/24, 221.65, 226.45, 221.65, 226.34, 60412406
07/03/24, 220.00, 221.55, 219.03, 221.55, 37369801
07/02/24, 216.15, 220.38, 215.10, 220.27, 58046180
07/01/24, 212.09, 217.51, 211.92, 216.75, 60402930
06/28/24, 215.77, 216.07, 210.30, 210.62, 82542719
06/27/24, 214.69, 215.7395, 212.35, 214.10, 49772711
06/26/24, 211.50, 214.86, 210.64, 213.25, 66213195
06/25/24, 209.15, 211.38, 208.61, 209.07, 56713871
